Heuristique; Type-Move; data1; data2; data3
0.666667;Normal;63;43;97336061541312119
0;Normal;13;33;27
0.333333;Split;72;63;45
0;Normal;04;13;23
0.333333;Normal;64;54;41
-0.333333;Normal;06;25;1311521867038720
-0.333333;Split;73;72;37
-0.666667;Normal;25;44;10653532160
-0.333333;Normal;62;52;1311532350084096
-0.333333;Normal;10;20;1311521867038720
0.333333;Normal;76;55;53
-3.55271e-15;Normal;12;22;1311521867038720
0.666667;Split;75;53;42
-0.666667;Normal;44;52;12
3.66667;Normal;71;52;36
3;Normal;14;34;12
5.33333;Normal;52;33;51
5;Normal;05;14;12
7.66667;Normal;33;14;1311532350084090
4.33333;Normal;13;14;05
6.66667;Normal;55;34;31
6.66667;Normal;22;32;05
7.33333;Normal;34;15;1311532350084095
4;Normal;14;15;05
4;Normal;53;17;33
3.66667;Normal;02;46;13
20;Normal;42;15;1311532350084090
