Heuristique; Type-Move; data1; data2; data3
0.333333;Normal;63;53;00
-0.333333;Normal;13;33;27
-7.10543e-15;Normal;64;54;1404364806255617
-7.10543e-15;Normal;06;27;1404336110305280
0.666667;Split;73;55;46
0.166667;Split;01;22;13
2.5;Normal;55;33;1404364806255615
2;Merge;22;13;34
10;Normal;33;03;1404364806255615
1;Normal;04;03;24
1.66667;Normal;71;52;111091429886232688642
1;Split;02;24;35
1.66667;Normal;76;55;64
-1.66667;Normal;34;55;46
2.33333;Normal;66;55;40
2;Normal;12;32;04
2.33333;Normal;75;66;64
2;Split;03;12;13
2.33333;Normal;72;63;1404336110305280
2.33333;Normal;12;21;02
2.66667;Normal;54;44;40
3.33333;Merge;35;24;57
6;Normal;63;27;40
3.33333;Normal;16;27;03
6;Normal;66;57;40
6;Split;00;04;02
9;Normal;57;13;40
8.66667;Normal;15;25;1404336110305280
8.83333;Split;13;22;31
8.83333;Normal;02;22;657924294967296
8.66667;Normal;22;04;1404364806255610
8.66667;Normal;25;35;20
13.3333;Normal;31;04;1404364806255610
13.4167;Split;21;31;30
13.75;Normal;04;13;1404364806255610
11.4167;Normal;35;44;20
11.75;Normal;13;22;00
7.75;Normal;11;22;1404336110305280
7.75;Normal;60;40;33
8.55556;Normal;10;30;1404336110305280
20;Normal;40;31;1404364806255610
