Heuristique; Type-Move; data1; data2; data3
0.333333;Normal;63;53;94223227710400140436486726960
-0.333333;Normal;13;33;27
-7.10543e-15;Normal;64;54;1404364806255617
-7.10543e-15;Normal;06;27;1404336110305280
0.666667;Split;73;55;46
0.5;Split;01;20;13
2.83333;Normal;55;33;140436482220024140436486725632
2.33333;Merge;20;13;32
10.3333;Normal;33;03;1404364806255615
1.33333;Normal;04;03;24
2;Normal;71;52;111091429886232688643
1.66667;Split;02;46;13
2.33333;Normal;76;55;64
2;Normal;12;22;04
2.33333;Normal;55;34;40
1.66667;Normal;27;35;04
3;Normal;34;22;1404364806255615
-1;Normal;13;22;04
-1.5;Split;52;64;73
-1.66667;Split;03;12;02
-1.33333;Normal;62;52;1404364806255617
-3;Normal;32;53;04
-2.83333;Normal;75;53;10653532160
-20;Normal;53;74;27
