Heuristique; Type-Move; data1; data2; data3
0.666667;Normal;63;43;00
0;Normal;13;33;27
0.333333;Split;72;63;36
7.10543e-15;Normal;03;13;24
7.10543e-15;Normal;61;41;1404364806255610
0.333333;Normal;13;40;27
1;Normal;71;52;54
-0.666667;Normal;40;41;27
1.66667;Normal;52;33;1404364806255610
-1.66667;Normal;41;63;27
8;Normal;73;63;72
7.66667;Normal;12;22;27
8.33333;Normal;76;55;1404336110305280
8.33333;Normal;16;26;27
9;Normal;33;14;1404364806255617
5.33333;Normal;06;14;27
5.66667;Normal;62;42;36
5.66667;Normal;17;37;33
6.33333;Normal;64;44;41
6.16667;Split;04;13;03
6.83333;Normal;75;53;73
6.91667;Split;13;04;12
6.58333;Split;63;36;27
6.58333;Normal;22;32;33
11.5833;Normal;27;07;1404364806255613
11.25;Split;02;57;35
10.9167;Normal;67;57;36
10.9167;Normal;12;21;27
13.9167;Normal;07;05;1404364806255613
13.9167;Normal;37;47;13
15.1667;Normal;05;04;1404364806255613
16.3333;Normal;03;04;22
16.3333;Split;04;40;02
16.1667;Split;01;20;13
21.1667;Normal;02;00;1404364806255613
18.8333;Normal;35;44;22
20.1667;Normal;43;32;02
19.6667;Split;14;22;33
24;Normal;53;44;02
24;Normal;11;31;1404364806255616
25;Normal;00;11;1404364806255612
20;Normal;13;21;1404364806255616
20;Split;11;00;14
