Heuristique; Type-Move; data1; data2; data3
0.333333;Normal;63;53;1404364806255612
-0.333333;Normal;13;33;27
-7.10543e-15;Normal;64;54;1404364806255617
-7.10543e-15;Normal;17;37;27
0.666667;Split;73;46;55
0.666667;Normal;10;30;27
3;Normal;55;33;1404364806255617
-8;Normal;03;33;24
-8;Normal;61;51;1404364806255617
-8.66667;Normal;33;51;27
0.666667;Normal;62;51;1404364806255613
3.55271e-15;Normal;02;35;22
0.333333;Split;71;50;52
0.333333;Normal;04;03;22
1;Normal;76;55;64
0.333333;Normal;06;25;04
0.666667;Normal;75;64;64
0.666667;Split;07;27;06
1;Normal;55;34;31
0.833333;Normal;27;26;13
0.166667;Normal;34;13;1404364806255610
-3.5;Normal;03;13;22
-3.33333;Normal;50;62;111091429886232688644
-3.66667;Normal;13;22;22
-4;Split;64;75;73
-4.16667;Split;01;20;13
-4.16667;Normal;52;73;1404364806255613
-4.33333;Normal;20;41;21
-4;Normal;54;44;40
-4;Split;00;20;10
-4.33333;Normal;52;40;720586935495557134294967296
-6.66667;Normal;25;44;23
-6.66667;Normal;51;41;32
-6.66667;Normal;11;21;20
-6.66667;Normal;60;50;61
-6.75;Split;10;11;00
-6.75;Normal;67;47;54
-6.75;Split;00;20;04
-6.75;Normal;70;71;54
-6.75;Split;04;01;00
-6.5;Split;40;61;32
-8.16667;Normal;30;41;36
-3.83333;Normal;53;44;40
-3.66667;Split;35;24;46
-2;Normal;50;41;51
-2.33333;Normal;22;33;10
20;Normal;44;33;51
